,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAYI,İNGİLİZCESİ,TÜRKÇESİ,TÜRÜ,EŞ / YAKIN ANLAMLISI,ZIT ANLAMLISI,ÖRNEK CÜMLE 1,ÖRNEK CÜMLE 2,ÖRNEK CÜMLE 3,ÖRNEK CÜMLE 4,ÖRNEK CÜMLE 5,ÖRNEK CÜMLE 6,ÖRNEK CÜMLE 7,ÖRNEK CÜMLE 8,ÖRNEK CÜMLE 9,ÖRNEK CÜMLE 10,ÖRNEK CÜMLE 11,ÖRNEK CÜMLE 12,ÖRNEK CÜMLE 13,ÖRNEK CÜMLE 14,ÖRNEK CÜMLE 15,ÖRNEK CÜMLE 16,ÖRNEK CÜMLE TÜRKÇESİ 1,ÖRNEK CÜMLE TÜRKÇESİ 2,ÖRNEK CÜMLE TÜRKÇESİ 3,ÖRNEK CÜMLE TÜRKÇESİ 4,ÖRNEK CÜMLE TÜRKÇESİ 5,ÖRNEK CÜMLE TÜRKÇESİ 6,ÖRNEK CÜMLE TÜRKÇESİ 7,ÖRNEK CÜMLE TÜRKÇESİ 8,ÖRNEK CÜMLE TÜRKÇESİ 9,ÖRNEK CÜMLE TÜRKÇESİ 10,ÖRNEK CÜMLE TÜRKÇESİ 11,ÖRNEK CÜMLE TÜRKÇESİ 12,ÖRNEK CÜMLE TÜRKÇESİ 13,ÖRNEK CÜMLE TÜRKÇESİ 14,ÖRNEK CÜMLE TÜRKÇESİ 15,ÖRNEK CÜMLE TÜRKÇESİ 16
1,Trifling,Önemsiz,adj,"Trivial, Unimportant, Insignificant","Important, Significant",It was such a trifling sum of money to argue about!,We should not spend our energy on trifling details during the meeting.,The mistake was trifling and did not affect the final result.,I won't waste my time on such trifling matters when there are bigger problems.,"The difference in price was trifling, so I chose the higher quality one.",Stop arguing over trifling details and focus on the main goal.,The impact of the new tax on low-income families was not as trifling as the government suggested.,"In the grand scheme of the universe, our planetary problems may seem trifling.",Scientists dismissed the result as a trifling error in calculation.,He was annoyed by the trifling complaints of his neighbors.,The cost of the repairs was trifling compared to the value of the house.,Do not waste your time on trifling matters during the meeting.,Even a trifling increase in temperature can melt delicate ice sheets.,She inherited a trifling sum that barely covered her debts.,The difference in flavor between the two brands is actually trifling.,Historians often ignore trifling events that do not change the course of history.,Tartışılmayacak kadar önemsiz bir miktardı!,Toplantı sırasında enerjimizi önemsiz detaylara harcamamalıyız.,Bugün önemsiz şikayetlerin olumlu ruh halini bozmasına izin verme.,Daha büyük sorunlar varken vaktimi böylesine önemsiz meselelerle harcamayacağım.,"Fiyat farkı önemsizdi, bu yüzden daha yüksek kaliteli olanı seçtim.",Önemsiz detaylar üzerinde tartışmayı bırak ve ana hedefe odaklan.,Yeni verginin düşük gelirli aileler üzerindeki etkisi hükümetin öne sürdüğü kadar önemsiz değildi.,"Evrenin genel düzeninde, gezegensel sorunlarımız önemsiz görünebilir.","Bilim insanları sonucu, hesaplamadaki önemsiz bir hata olarak reddettiler.",Komşularının önemsiz şikayetlerinden rahatsız olmuştu.,"Onarım maliyeti, evin değeriyle karşılaştırıldığında önemsizdi.",Toplantı sırasında vaktinizi önemsiz meselelerle harcamayın.,Sıcaklıktaki önemsiz bir artış bile hassas buz tabakalarını eritebilir.,Borçlarını ancak karşılayan önemsiz bir meblağ miras kaldı.,İki marka arasındaki lezzet farkı aslında önemsizdir.,Tarihçiler genellikle tarihin akışını değiştirmeyen önemsiz olayları görmezden gelirler.
2,Abundant,"Bol, Bereketli",adj,"Plentiful, Abounding, Teeming","Scarce, insufficient, bare, impoverished",Cheap consumer goods are abundant in this region.,The forest provides abundant resources for the local wildlife.,The region has abundant natural resources.,The island is famous for its abundant wildlife and rare plants.,We have an abundant supply of fresh water thanks to the new well.,Opportunities for growth are abundant in this developing industry.,"The region is known for its abundant natural resources, which attract many investors.",Evidence of ancient civilizations is abundant in this archaeological site.,"After the heavy rains, there was an abundant supply of fresh water.",The forest provides an abundant habitat for various endangered species.,Abundant opportunities for growth exist in the digital marketing sector.,The lecture provided abundant information regarding the effects of climate change.,Farmers celebrated an abundant harvest after a successful season.,"Despite the abundant warnings, many people ignored the safety protocols.",There is abundant proof that exercise improves mental health.,The library offers an abundant collection of rare historical documents.,Bu bölgede ucuz tüketici malları boldur.,"Orman, yerel yaban hayatı için bol kaynak sağlar.",Çiftçi bu yılki bol hasattan çok memnundu.,"Ada, bol yaban hayatı ve nadir bitkileriyle ünlüdür.",Yeni kuyu sayesinde bol miktarda taze su kaynağımız var.,Bu gelişen sektörde büyüme fırsatları boldur.,"Bölge, birçok yatırımcıyı çeken bol doğal kaynaklarıyla tanınır.",Bu arkeolojik alanda antik uygarlıklara dair bolca kanıt vardır.,Şiddetli yağışların ardından bol miktarda taze su kaynağı oluştu.,"Orman, nesli tükenmekte olan çeşitli türler için bol bir yaşam alanı sağlar.",Dijital pazarlama sektöründe bolca büyüme fırsatı mevcuttur.,"Ders, iklim değişikliğinin etkileri hakkında bol miktarda bilgi sağladı.",Çiftçiler başarılı bir sezonun ardından bol hasadı kutladılar.,Bol uyarılara rağmen birçok kişi güvenlik protokollerini görmezden geldi.,Egzersizin ruh sağlığını iyileştirdiğine dair bolca kanıt vardır.,"Kütüphane, nadir tarihi belgelerden oluşan bol bir koleksiyon sunmaktadır."
3,Consecutive,Art arda gelen,adj,"Successive, sequential, subsequent",Discontinuous,This is the fifth consecutive weekend that I've spent working.,She won the championship for three consecutive years.,She won three consecutive championships.,He won the gold medal for the third consecutive year.,The team suffered five consecutive losses before finally winning a game.,"It rained for ten consecutive days, causing local floods.",The team celebrated their third consecutive victory in the national championship.,"It rained for five consecutive days, causing the river to overflow.",The company reported losses for four consecutive quarters.,She has won the marathon for two consecutive years.,He was exhausted after working ten consecutive hours without a break.,The patient showed improvement over three consecutive examinations.,The city experienced consecutive heatwaves during the peak of summer.,He served as the chairman for two consecutive terms.,"The drought lasted for three consecutive months, ruining the crops.",The athlete was banned after failing two consecutive drug tests.,"Bu, çalışarak geçirdiğim ardı ardına beşinci hafta sonu.",Şampiyonluğu üç yıl üst üste kazandı.,Kuzey bölgesinde on gün boyunca aralıksız yağmur yağdı.,Üst üste üçüncü kez ulusal şampiyonlukta altın madalya kazandı.,"Takım, nihayet bir maç kazanmadan önce üst üste beş mağlubiyet aldı.",On gün boyunca aralıksız yağmur yağması yerel su baskınlarına neden oldu.,"Takım, ulusal şampiyonadaki üst üste üçüncü zaferini kutladı.",Beş gün boyunca aralıksız yağmur yağması nehrin taşmasına neden oldu.,"Şirket, üst üste dört çeyrek boyunca zarar bildirdi.",Maratonu iki yıl üst üste kazandı.,Ara vermeden on saat boyunca çalıştıktan sonra bitkin düşmüştü.,"Hasta, birbirini izleyen üç muayene boyunca iyileşme gösterdi.","Şehir, yazın zirvesinde üst üste sıcak hava dalgaları yaşadı.",İki dönem üst üste başkanlık yaptı.,Kuraklık üç ay boyunca aralıksız sürdü ve ekinleri mahvetti.,"Sporcu, üst üste iki uyuşturucu testinden geçemeyince men edildi."
4,Deception,"Aldanma, Aldatma",n,"Deceiving, dishonesty, trickery",Honesty,He was found guilty of obtaining money by deception.,The magician's trick was based on clever deception.,The scandal was based on deception rather than facts.,The magician mastered the art of deception to thrill his audience.,He was accused of using deception to gain access to the secret files.,"In nature, camouflage is a clever form of deception used for survival.",The elaborate deception was finally uncovered by an undercover journalist.,He was convicted of obtaining property through deception and fraud.,Military strategy often involves an element of deception to confuse the enemy.,The magician's show relied on optical deception to amaze the crowd.,She felt a deep sense of betrayal after discovering his long-term deception.,Political deception can lead to a loss of public trust in institutions.,"Animals often use deception, such as camouflage, to survive in the wild.",The contract was signed based on a deliberate deception by the seller.,"He was a master of deception, making everyone believe he was wealthy.",The investigation revealed a web of deception within the organization.,Dolandırıcılıkla para elde etmekten suçlu bulundu.,Sihirbazın numarası akıllıca bir aldatmacaya dayanıyordu.,"Casus, gizli devlet tesisine girmek için aldatma yolunu kullandı.","Sihirbaz, izleyicilerini heyecanlandırmak için aldatma sanatında ustalaştı.",Gizli dosyalara erişim sağlamak için aldatma kullanmakla suçlandı.,"Doğada kamuflaj, hayatta kalmak için kullanılan akıllıca bir aldatma biçimidir.",Karmaşık aldatmaca sonunda gizli bir gazeteci tarafından ortaya çıkarıldı.,Dolandırıcılık ve aldatma yoluyla mülk elde etmekten mahkum oldu.,Askeri strateji genellikle düşmanı şaşırtmak için bir aldatma unsuru içerir.,Sihirbazın gösterisi şaşırtmak için optik aldatmacaya dayanıyordu.,Aldatmacasını keşfettikten sonra derin bir ihanet duygusu hissetti.,"Siyasi aldatma, kurumlara olan halk güveninin kaybolmasına neden olabilir.",Hayvanlar vahşi doğada hayatta kalmak için genellikle kamuflaj gibi aldatmacalar kullanırlar.,"Sözleşme, satıcının kasıtlı bir aldatmacasına dayanarak imzalandı.",Herkesi zengin olduğuna inandıran bir aldatma ustasıydı.,"Soruşturma, organizasyon içinde bir aldatma ağını ortaya çıkardı."
5,Disperse,"Dağıtmak, Dağılmak",v,"Scatter, dispel, diffuse","Gather, collect, concentrate",Just after the rain came down the clouds started to disperse.,The police ordered the crowd to disperse immediately.,Police used gas to disperse the crowd.,The wind helped disperse the seeds across the entire valley.,Police used loud speakers to order the crowd to disperse.,"As the sun rose, the thick morning fog began to disperse.",The protesters were ordered to disperse after the demonstration turned violent.,The wind helped to disperse the thick smoke from the forest fire.,Seeds are often dispersed by birds and other small animals.,The police used tear gas to disperse the crowd in the main square.,"As the sun rose, the heavy morning fog began to disperse.",The company plans to disperse its manufacturing plants across the country.,"Once the meeting was over, the delegates began to disperse to their hotels.",Light hitting a prism will disperse into a spectrum of colors.,The government tried to disperse the population to less crowded areas.,Knowledge can disperse the shadows of ignorance and superstition.,Yağmur yağdıktan hemen sonra bulutlar dağılmaya başladı.,Polis kalabalığa derhal dağılmalarını emretti.,Toplantı sonunda bittiğinde protestocular dağılmaya başladı.,"Rüzgar, tohumların tüm vadiye dağılmasına yardımcı oldu.",Polis kalabalığa dağılması için hoparlörlerle emir verdi.,Güneş doğarken sabahın yoğun sisi dağılmaya başladı.,Gösteri şiddete dönüştükten sonra protestoculara dağılmaları emredildi.,"Rüzgar, orman yangınından çıkan yoğun dumanın dağılmasına yardımcı oldu.",Tohumlar genellikle kuşlar ve diğer küçük hayvanlar tarafından dağıtılır.,Polis ana meydandaki kalabalığı dağıtmak için göz yaşartıcı gaz kullandı.,Güneş doğarken sabahın ağır sisi dağılmaya başladı.,"Şirket, üretim tesislerini ülke geneline dağıtmayı planlıyor.",Toplantı bittikten sonra delegeler otellerine dağılmaya başladılar.,"Bir prizmaya çarpan ışık, bir renk spektrumuna dağılacaktır.",Hükümet nüfusu daha az kalabalık bölgelere dağıtmaya çalıştı.,"Bilgi, cehalet ve batıl inancın gölgelerini dağıtabilir."
6,Exact,"Kesin, Tam",adj,"Correct, precise, definite","Vague, ambigious, unclear",The exact time of the accident was 2.43 pm.,Scientists are still trying to determine the exact cause of the reaction.,We need the exact figure before proceeding.,Please make sure you provide the exact measurements for the furniture.,No one knows the exact number of stars in our galaxy.,You need to follow the exact instructions to complete the experiment.,The exact cause of the explosion is still under investigation by the fire department.,Please provide the exact dimensions of the room before ordering furniture.,Scientists are working to determine the exact age of the fossil.,It is difficult to give an exact number of refugees currently in the camp.,He reproduced the painting with such exact detail that it looked like an original.,The exact location of the hidden treasure remains a mystery.,We need an exact measurement of the chemicals for the experiment.,She remembered the exact words her grandmother had told her.,The exact timing of the event was crucial for its success.,He demanded an exact explanation for the delay in the project.,Kaza tam olarak 2.43’de meydana geldi.,Bilim insanları hala reaksiyonun kesin nedenini belirlemeye çalışıyorlar.,Gizli antik hazinenin tam yerini bilmemiz gerekiyor.,Mobilya için kesin ölçüleri verdiğinizden emin olun.,Galaksimizdeki yıldızların kesin sayısını kimse bilmiyor.,Deneyi tamamlamak için kesin talimatları izlemeniz gerekir.,Patlamanın kesin nedeni itfaiye tarafından hala araştırılıyor.,Mobilya siparişi vermeden önce lütfen odanın kesin ölçülerini belirtin.,Bilim insanları fosilin kesin yaşını belirlemek için çalışıyorlar.,Mültecilerin kesin bir sayısını vermek zordur.,Tabloyu o kadar kesin detaylarla kopyaladı ki orijinali gibi görünüyordu.,Gizli hazinenin tam yeri bir gizem olarak kalmaya devam ediyor.,Deney için kimyasalların kesin bir ölçümüne ihtiyacımız var.,Büyükannesinin kendisine söylediği tam kelimeleri hatırladı.,Etkinliğin kesin zamanlaması başarısı için çok önemliydi.,Projedeki gecikme için kesin bir açıklama talep etti.
7,Formidable,"Sert, Sağlam, Yenilmez, Dayanıklı",adj,"Challenging, difficult, invincible","Susceptible, vulnerable, fragile, sensitive",The Ottoman Empire was a formidable opponent for other empires.,Facing the world champion was a formidable challenge for the young athlete.,The enemy presented a formidable challenge.,The high mountains were a formidable obstacle for the early explorers.,She has earned a reputation as a formidable debater in parliament.,The champion faces a formidable challenger in the upcoming match.,The young boxer faced a formidable opponent in his first title match.,The Great Wall of China remains a formidable structure after centuries.,Solving the global energy crisis is a formidable challenge for scientists.,She has earned a reputation as a formidable intellectual in her field.,The army encountered formidable resistance as they entered the valley.,The company faces formidable competition from international tech giants.,Rebuilding the city after the earthquake was a formidable task.,His formidable memory allowed him to recite long poems effortlessly.,The mountains proved to be a formidable barrier for the early travelers.,She possesses a formidable talent for negotiation and diplomacy.,Osmanlı İmparatorluğu diğer imparatorluklar için zorlu bir rakipti.,Dünya şampiyonuyla karşılaşmak genç sporcu için çetin bir sınavdı.,Yüksek dağlar gezginler için aşılması güç bir engel oluşturuyordu.,Yüksek dağlar erken kaşifler için zorlu bir engeldi.,Parlamentoda müthiş bir tartışmacı olarak ün kazandı.,"Şampiyon, yaklaşan maçta dişli bir rakiple karşı karşıya.","Genç boksör, ilk unvan maçında zorlu bir rakiple karşılaştı.","Çin Seddi, yüzyıllar sonra bile heybetli bir yapı olmaya devam ediyor.",Küresel enerji krizini çözmek bilim insanları için çok büyük bir zorluktur.,Kendi alanında müthiş bir entelektüel olarak ün kazandı.,"Ordu, vadiye girdiğinde sert bir direnişle karşılaştı.","Şirket, uluslararası teknoloji devlerinin müthiş rekabetiyle karşı karşıya.",Depremden sonra şehri yeniden inşa etmek muazzam bir görevdi.,"Müthiş hafızası, uzun şiirleri zahmetsizce okumasına izin veriyordu.","Dağlar, ilk gezginler için aşılması güç bir engel olduğunu kanıtladı.",Müzakere ve diplomasi konusunda müthiş bir yeteneğe sahip.
8,Graceful,"Hoş, Çekici, Zarif, Nazik",adj,"Attractive, charming","Awkward, ugly",The player showed graceful movements.,The swans looked so graceful as they glided across the lake.,The dancer moved in a graceful manner.,The deer made a graceful leap over the fallen tree.,Her graceful movements on the ice earned her a perfect score.,The bridge's graceful design makes it a landmark of the city.,The ballerina’s graceful movements captivated the entire audience.,The swans looked so graceful as they glided across the calm lake.,She accepted the criticism with a graceful smile and a nod.,The bridge is famous for its graceful arches and elegant design.,He made a graceful exit from the stage after his final performance.,The willow trees swayed in a graceful dance during the breeze.,Her graceful handwriting made her letters a joy to read.,The athlete’s graceful dive earned him a perfect score from the judges.,The building’s architecture is a graceful blend of modern and classic styles.,She managed the difficult situation in a very graceful manner.,Oyuncu etkileyici hareketler gösterdi.,Kuğular gölde süzülürken çok zarif görünüyorlardı.,Dansçının sahnedeki hareketleri dikkat çekici derecede zarifti.,"Geyik, devrilmiş ağacın üzerinden zarif bir sıçrayış yaptı.",Buz üzerindeki zarif hareketleri ona tam puan kazandırdı.,Köprünün zarif tasarımı onu şehrin simgesi haline getiriyor.,Balerinin zarif hareketleri tüm izleyiciyi büyüledi.,Kuğular sakin gölde süzülürken çok zarif görünüyorlardı.,Eleştiriyi nazik bir gülümseme ve baş selamıyla kabul etti.,"Köprü, zarif kemerleri ve şık tasarımıyla ünlüdür.",Son performansından sonra sahneden zarif bir şekilde ayrıldı.,Salkım söğüt ağaçları esinti sırasında zarif bir dansla sallandı.,Zarif el yazısı mektuplarını okumayı bir keyif haline getiriyordu.,Sporcunun zarif dalışı jüriden tam puan aldı.,"Binanın mimarisi, modern ve klasik stillerin zarif bir karışımıdır.",Zor durumu çok nazik bir tavırla idare etti.
9,Grasp,"Kapmak, Algılamak, Kavramak",v,"Snatch, grab, perceive","Loose, release",We must grasp every opportunity to strengthen economic ties with other countries.,It took him a moment to grasp the complexity of the new software.,He tried to grasp the main idea quickly.,It took the students a while to grasp the new physics theory.,You must grasp the handle firmly before pulling the lever.,He failed to grasp the seriousness of the situation until it was too late.,It took the students some time to grasp the core concepts of quantum physics.,You must grasp the opportunity to study abroad while you can.,He failed to grasp the significance of the warning signs until it was too late.,The child tried to grasp his mother's hand while walking through the crowd.,It is difficult to grasp the scale of the destruction caused by the war.,She has a firm grasp of the political situation in the Middle East.,I managed to grasp the rope just before I slipped off the ledge.,The detective struggled to grasp the motive behind the mysterious crime.,"After reading the manual, he finally began to grasp how the machine works.",We must grasp every chance to improve our language skills.,Diğer ülkelerle ekonomik bağları güçlendirmek için her fırsatı yakalamalıyız.,Yeni yazılımın karmaşıklığını kavraması biraz zaman aldı.,Küçük çocuklar genellikle karmaşık matematiksel kavramları kavramakta zorlanırlar.,Öğrencilerin yeni fizik teorisini kavramaları biraz zaman aldı.,Kolu çekmeden önce kolu sıkıca kavramalısınız.,Çok geç olana kadar durumun ciddiyetini kavrayamadı.,Öğrencilerin kuantum fiziğinin temel kavramlarını kavraması zaman aldı.,Elinize geçen yurt dışında eğitim görme fırsatını yakalamalısınız.,Uyarı işaretlerinin önemini çok geç olana kadar kavrayamadı.,Çocuk kalabalıkta yürürken annesinin elini tutmaya çalıştı.,Savaşın neden olduğu yıkımın boyutunu kavramak zordur.,Orta Doğu'daki siyasi durum hakkında sağlam bir kavrayışa sahip.,Kenardan kaymadan hemen önce ipi kavramayı başardım.,"Dedektif, gizemli suçun arkasındaki nedeni kavramakta zorlandı.",Kılavuzu okuduktan sonra makinenin nasıl çalıştığını kavramaya başladı.,Dil becerilerimizi geliştirmek için her fırsatı yakalamalıyız.
10,Humid,Nemli,adj,"Damp, moist, wet",Dry,New York is very hot and humid in the summer.,The weather in the tropical rainforest is always hot and humid.,The climate is hot and humid during summer.,The air becomes very humid just before a tropical rainstorm.,Plants that love humid conditions grow well in this greenhouse.,I find it difficult to breathe when the weather is too humid.,The weather in the tropical rainforest is always extremely hot and humid.,I find it difficult to sleep when the air is too humid and heavy.,The humid climate is perfect for growing certain types of exotic plants.,"After the rain, the air became uncomfortably humid in the valley.",Most electronic devices can be damaged by highly humid environments.,We spent our vacation in a humid coastal town in southern Asia.,The basement felt damp and humid because of the lack of ventilation.,Skin feels sticky in humid weather because sweat does not evaporate easily.,The greenhouse is kept humid to simulate a jungle environment.,Travelers often struggle to adjust to the humid conditions of the region.,New York yazları çok sıcak ve nemli olur.,Tropikal yağmur ormanlarındaki hava her zaman sıcak ve nemlidir.,Tropikal seradaki hava inanılmaz derecede sıcak ve nemliydi.,Tropikal fırtınadan hemen önce hava çok nemli bir hal alır.,Nemli koşulları seven bitkiler bu serada iyi büyür.,Hava çok nemli olduğunda nefes almakta zorlanıyorum.,Tropikal yağmur ormanlarında hava her zaman aşırı sıcak ve nemlidir.,Hava çok nemli ve ağır olduğunda uyumakta zorlanıyorum.,"Nemli iklim, belirli egzotik bitki türlerini yetiştirmek için mükemmeldir.",Yağmurdan sonra vadideki hava rahatsız edici derecede nemli oldu.,Çoğu elektronik cihaz yüksek nemli ortamlardan zarar görebilir.,Tatilimizi Güney Asya'da nemli bir sahil kasabasında geçirdik.,"Bodrum katı, havalandırma eksikliği nedeniyle rutubetli ve nemli hissettiriyordu.",Ter kolayca buharlaşmadığı için nemli havalarda cilt yapış yapış olur.,"Sera, orman ortamını taklit etmek için nemli tutulur.",Gezginler genellikle bölgenin nemli koşullarına uyum sağlamakta zorlanırlar.
